date,ad_id,campaign,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
2021-02-16,710961,Campanha A,104285,35-39,Mulher,25,2508,1,1.220000029,1,0
2021-02-17,710968,Campanha A,104287,35-39,Mulher,27,5864,2,2.799999952,1,1
2021-02-18,711217,Campanha A,104328,35-39,Mulher,20,2783,1,1.600000024,1,0
2021-02-19,711623,Campanha A,104396,40-44,Mulher,15,3812,1,1.129999995,2,1
2021-02-20,711764,Campanha A,104419,45-49,Mulher,10,11199,4,5.730000019,1,1
2021-02-21,711785,Campanha A,104423,45-49,Mulher,19,292,0,0,1,0
2021-02-22,711877,Campanha A,104438,45-49,Mulher,63,17572,7,9.379999995,1,0
2021-02-23,712052,Campanha A,104467,45-49,Mulher,10,1448,0,0,1,1
2021-01-01,734209,Campanha B,108654,30-34,Homem,10,1772,0,0,1,1
2021-01-02,734210,Campanha B,108654,30-34,Homem,10,13329,4,5.629999995,1,1
2021-01-03,734215,Campanha B,108655,30-34,Homem,15,13659,3,3.840000033,1,0
2021-01-04,734243,Campanha B,108660,30-34,Homem,21,739,0,0,1,1
2021-01-05,734266,Campanha B,108664,30-34,Homem,25,605,0,0,1,0
2021-01-06,734272,Campanha B,108665,30-34,Homem,26,1030,0,0,1,0
2021-01-07,734290,Campanha B,108668,30-34,Homem,29,5374,1,1.039999962,4,0
2021-01-08,734313,Campanha B,108672,30-34,Homem,36,790,0,0,1,1
2021-01-09,734314,Campanha B,108672,30-34,Homem,36,962,0,0,1,0
2021-01-10,734352,Campanha B,108678,35-39,Homem,10,4423,1,1.460000038,1,1
2021-01-11,734361,Campanha B,108680,35-39,Homem,16,12382,2,2.839999914,1,1
2021-01-12,734381,Campanha B,108683,35-39,Homem,20,2938,1,1.350000024,1,1
2021-01-13,734399,Campanha B,108686,35-39,Homem,23,239,0,0,1,0
2021-01-14,734418,Campanha B,108689,35-39,Homem,26,591,0,0,1,0
2021-01-15,734421,Campanha B,108690,35-39,Homem,27,10332,4,5.75,1,0
2021-01-16,734427,Campanha B,108691,35-39,Homem,28,8259,3,3.980000019,1,0
2021-01-17,734433,Campanha B,108692,35-39,Homem,29,12158,3,4.449999928,1,0
2021-01-18,734582,Campanha B,108716,40-44,Homem,29,7709,2,1.320000052,2,0
2021-01-19,734605,Campanha B,108720,40-44,Homem,36,834,0,0,1,0
2021-01-20,734660,Campanha B,108729,45-49,Homem,18,1299,0,0,2,0
2021-01-21,734666,Campanha B,108730,45-49,Homem,19,371,0,0,1,0
2021-01-22,734726,Campanha B,108740,45-49,Homem,29,10466,3,4.090000033,1,0
2021-01-23,734737,Campanha B,108742,45-49,Homem,31,839,0,0,1,0
2021-01-24,734785,Campanha B,108750,30-34,Mulher,10,5576,1,1.529999971,1,1
2021-01-25,734794,Campanha B,108752,30-34,Mulher,16,4010,0,0,1,0
2021-01-26,734796,Campanha B,108752,30-34,Mulher,16,39337,7,10.03000009,1,1
2021-01-27,734800,Campanha B,108753,30-34,Mulher,18,1635,0,0,1,0
2021-01-28,734803,Campanha B,108753,30-34,Mulher,18,1631,0,0,1,0
2021-01-29,734852,Campanha B,108761,30-34,Mulher,26,13479,3,4.25,1,0
2021-01-30,734854,Campanha B,108762,30-34,Mulher,27,57022,13,20.29000032,3,3
2021-01-31,734856,Campanha B,108762,30-34,Mulher,27,5453,1,1.389999986,1,1
2021-02-01,734866,Campanha B,108764,30-34,Mulher,29,11803,3,4.440000057,1,0
2021-02-02,734881,Campanha B,108766,30-34,Mulher,31,4259,1,1.570000052,1,1
2021-02-03,734901,Campanha B,108770,30-34,Mulher,64,1554,0,0,1,0
2021-02-04,734903,Campanha B,108770,30-34,Mulher,64,5323,1,1.289999962,1,1
2021-02-05,734925,Campanha B,108774,35-39,Mulher,10,5024,1,1.409999967,1,1
2021-02-06,734939,Campanha B,108776,35-39,Mulher,16,104648,24,33.33000004,4,2
2021-02-07,734968,Campanha B,108781,35-39,Mulher,22,8504,3,3.340000093,1,1
2021-02-08,734999,Campanha B,108786,35-39,Mulher,27,20277,6,8.050000072,1,0
2021-02-09,735014,Campanha B,108788,35-39,Mulher,29,12403,4,5.210000038,1,1
2021-02-10,735032,Campanha B,108791,35-39,Mulher,32,498,0,0,1,1
2021-02-11,735033,Campanha B,108792,35-39,Mulher,36,652,0,0,0,0
2021-02-12,735043,Campanha B,108793,35-39,Mulher,63,1357,0,0,1,1
2021-02-13,735048,Campanha B,108794,35-39,Mulher,64,1393,0,0,1,0
2021-02-14,735065,Campanha B,108797,40-44,Mulher,7,648,0,0,1,0
2021-02-15,735109,Campanha B,108804,40-44,Mulher,21,708,0,0,1,1
2021-02-16,735140,Campanha B,108809,40-44,Mulher,26,6907,2,2.349999964,1,0
2021-02-17,735143,Campanha B,108810,40-44,Mulher,27,39035,13,19.32999957,1,0
2021-02-18,735151,Campanha B,108811,40-44,Mulher,28,926,0,0,1,0
2021-02-19,735184,Campanha B,108817,40-44,Mulher,63,4412,1,1.450000048,1,0
2021-02-20,735189,Campanha B,108818,40-44,Mulher,64,9965,3,4.050000072,1,0
2021-02-21,735213,Campanha B,108822,45-49,Mulher,10,73634,23,32.97999978,1,0
2021-02-22,735220,Campanha B,108823,45-49,Mulher,15,69708,20,31.28999949,1,0
2021-02-23,735242,Campanha B,108826,45-49,Mulher,19,530,0,0,1,0
2021-02-24,735247,Campanha B,108827,45-49,Mulher,20,14257,6,8.789999962,1,0
2021-02-25,735289,Campanha B,108834,45-49,Mulher,27,20362,5,9.119999886,1,1
2021-02-26,735290,Campanha B,108834,45-49,Mulher,27,12215,4,6.26000011,1,0
2021-02-27,735298,Campanha B,108836,45-49,Mulher,29,85412,28,38.63999999,2,1
2021-02-28,736869,Campanha B,109448,30-34,Homem,2,2338,1,0.239999995,1,0
2021-03-01,736890,Campanha B,109451,30-34,Homem,15,2522,0,0,1,0
2021-03-02,736893,Campanha B,109452,30-34,Homem,16,3587,0,0,1,0
2021-03-03,736977,Campanha B,109470,30-34,Homem,27,1273,0,0,1,0
2021-03-04,736988,Campanha B,109472,30-34,Homem,28,3891,1,1.090000033,1,0
2021-03-05,736995,Campanha B,109473,30-34,Homem,29,1888,0,0,1,0
2021-03-06,736997,Campanha B,109473,30-34,Homem,29,1895,0,0,1,0
2021-03-07,737097,Campanha B,109498,35-39,Homem,7,715,0,0,1,0
2021-03-08,737130,Campanha B,109507,35-39,Homem,16,11199,2,2.680000067,1,0
2021-03-09,737320,Campanha B,109553,35-39,Homem,63,5676,2,3.00999999,1,0
2021-03-10,737375,Campanha B,109565,40-44,Homem,10,1415,0,0,1,0
2021-03-11,737524,Campanha B,109601,40-44,Homem,30,2148,1,1.580000043,1,1
2021-03-12,737644,Campanha B,109629,45-49,Homem,16,45401,10,14.06000042,1,0
2021-03-13,737657,Campanha B,109633,45-49,Homem,18,7478,2,2.900000095,1,1
2021-03-14,737658,Campanha B,109633,45-49,Homem,18,4919,1,1.590000033,1,0
2021-03-15,737674,Campanha B,109637,45-49,Homem,20,533,0,0,1,1
2021-03-16,737766,Campanha B,109659,45-49,Homem,29,1447,0,0,1,1
2021-03-17,737896,Campanha B,109689,30-34,Mulher,16,17553,3,4.590000153,1,0
2021-03-18,737931,Campanha B,109698,30-34,Mulher,20,3343,1,0.540000021,1,0
2021-03-19,737961,Campanha B,109706,30-34,Mulher,23,523,0,0,1,0
2021-03-20,737995,Campanha B,109714,30-34,Mulher,26,1873,0,0,1,0
2021-03-21,738006,Campanha B,109717,30-34,Mulher,27,34740,7,13.41000009,1,1
2021-03-22,738067,Campanha B,109731,30-34,Mulher,32,658,0,0,1,0
2021-03-23,738098,Campanha B,109738,30-34,Mulher,64,1539,0,0,1,0
2021-03-24,738307,Campanha B,109788,35-39,Mulher,31,3010,1,0.860000014,1,1
2021-03-25,738389,Campanha B,109808,40-44,Mulher,10,27081,9,10.77000046,1,1
2021-03-26,738408,Campanha B,109813,40-44,Mulher,16,20233,4,5.590000153,3,0
2021-03-27,738413,Campanha B,109813,40-44,Mulher,16,147159,36,58.16000044,3,1
2021-03-28,738423,Campanha B,109816,40-44,Mulher,18,21664,7,10.61999977,1,1
2021-03-29,738436,Campanha B,109820,40-44,Mulher,19,9112,4,5.460000038,1,1
2021-03-30,738463,Campanha B,109826,40-44,Mulher,21,542,0,0,1,0
2021-03-31,738528,Campanha B,109839,40-44,Mulher,30,402,0,0,1,1
2021-04-01,738560,Campanha B,109844,40-44,Mulher,64,1338,0,0,1,0
2021-04-02,738582,Campanha B,109848,45-49,Mulher,10,46150,15,20.17999983,1,1
2021-04-03,738592,Campanha B,109850,45-49,Mulher,16,493821,116,176.3799977,4,1
2021-04-04,738593,Campanha B,109850,45-49,Mulher,16,92011,27,34.39000046,2,1
2021-04-05,738598,Campanha B,109851,45-49,Mulher,18,12956,4,5.49000001,1,1
2021-04-06,738606,Campanha B,109852,45-49,Mulher,19,529,0,0,1,0
2021-04-07,738637,Campanha B,109857,45-49,Mulher,24,944,1,1.419999957,1,0
2021-04-08,738648,Campanha B,109859,45-49,Mulher,26,111090,38,51.97000027,5,1
2021-04-09,747212,Campanha B,110836,30-34,Homem,10,7208,2,3.190000057,1,0
2021-04-10,747213,Campanha B,110836,30-34,Homem,10,1746,0,0,1,0
2021-04-11,747220,Campanha B,110837,30-34,Homem,15,2474,0,0,2,2
2021-04-12,747222,Campanha B,110838,30-34,Homem,16,12489,2,1.960000038,1,0
2021-04-13,747223,Campanha B,110838,30-34,Homem,16,8032,1,0.600000024,2,0
2021-04-14,747248,Campanha B,110842,30-34,Homem,21,472,0,0,1,1
2021-04-15,747332,Campanha B,110856,30-34,Homem,64,792,0,0,1,1
2021-04-16,747362,Campanha B,110861,35-39,Homem,15,4607,1,1.149999976,1,1
2021-04-17,747369,Campanha B,110862,35-39,Homem,16,13355,2,3.180000067,1,1
2021-04-18,747370,Campanha B,110862,35-39,Homem,16,2936,0,0,1,0
2021-04-19,747401,Campanha B,110867,35-39,Homem,22,2793,1,0.980000019,1,1
2021-04-20,747435,Campanha B,110873,35-39,Homem,28,1032,0,0,1,0
2021-04-21,747439,Campanha B,110874,35-39,Homem,29,1662,0,0,1,1
2021-04-22,747489,Campanha B,110882,40-44,Homem,2,4016,2,1.480000049,1,1
2021-04-23,747514,Campanha B,110886,40-44,Homem,16,14843,3,2.939999938,1,1
2021-04-24,747645,Campanha B,110908,45-49,Homem,10,9674,3,4.600000024,1,1
2021-04-25,747659,Campanha B,110910,45-49,Homem,16,12186,2,2.669999957,1,0
2021-04-26,747675,Campanha B,110913,45-49,Homem,20,673,0,0,1,0
2021-04-27,747678,Campanha B,110914,45-49,Homem,21,370,0,0,1,1
2021-04-28,747712,Campanha B,110919,45-49,Homem,26,450,0,0,1,1
2021-04-29,747790,Campanha B,110932,30-34,Mulher,10,2077,0,0,1,1
2021-04-30,747791,Campanha B,110932,30-34,Mulher,10,31393,8,10.96000051,1,1
2021-05-01,747795,Campanha B,110933,30-34,Mulher,15,8410,2,2.359999895,1,1
2021-05-02,747798,Campanha B,110934,30-34,Mulher,16,25884,5,7.350000143,1,0
2021-05-03,747824,Campanha B,110938,30-34,Mulher,21,608,0,0,1,1
2021-05-04,747828,Campanha B,110939,30-34,Mulher,22,28488,10,9.340000033,1,0
2021-05-05,747852,Campanha B,110943,30-34,Mulher,26,10126,3,4.619999886,1,0
2021-05-06,747859,Campanha B,110944,30-34,Mulher,27,22572,5,8.5,1,0
2021-05-07,747863,Campanha B,110944,30-34,Mulher,27,1955,0,0,1,1
2021-05-08,747879,Campanha B,110947,30-34,Mulher,30,493,0,0,1,0
2021-05-09,747903,Campanha B,110951,30-34,Mulher,63,1491,0,0,1,1
2021-05-10,747911,Campanha B,110952,30-34,Mulher,64,1495,0,0,1,1
2021-05-11,747968,Campanha B,110962,35-39,Mulher,21,512,0,0,0,0
2021-05-12,747991,Campanha B,110966,35-39,Mulher,25,4868,2,2.420000076,1,0
2021-05-13,748000,Campanha B,110967,35-39,Mulher,26,6585,2,2.950000048,1,0
2021-05-14,748007,Campanha B,110968,35-39,Mulher,27,10164,2,3.720000029,1,1
2021-05-15,748014,Campanha B,110970,35-39,Mulher,29,11182,4,4.449999809,1,0
2021-05-16,748045,Campanha B,110975,35-39,Mulher,63,1238,0,0,1,0
2021-05-17,748086,Campanha B,110982,40-44,Mulher,16,34127,8,13.07000017,1,0
2021-05-18,748087,Campanha B,110982,40-44,Mulher,16,29466,7,10.84999967,2,0
2021-05-19,748089,Campanha B,110982,40-44,Mulher,16,38759,9,10.84999967,1,0
2021-05-20,748091,Campanha B,110982,40-44,Mulher,16,41720,10,12.06000006,1,1
2021-05-21,748225,Campanha B,111005,45-49,Mulher,15,18602,5,8.860000134,1,0
2021-05-22,748230,Campanha B,111006,45-49,Mulher,16,83929,21,27.72999954,4,1
2021-05-23,748231,Campanha B,111006,45-49,Mulher,16,25194,6,7.349999905,1,0
2021-05-24,748233,Campanha B,111006,45-49,Mulher,16,78627,19,26.53000045,1,0
2021-05-25,748235,Campanha B,111006,45-49,Mulher,16,102695,25,39.42999983,3,0
2021-05-26,748294,Campanha B,111016,45-49,Mulher,27,82827,24,47.93000031,3,0
2021-05-27,748295,Campanha B,111016,45-49,Mulher,27,9240,3,6.039999962,1,0
2021-05-28,748303,Campanha B,111018,45-49,Mulher,29,7706,2,2.369999886,1,0
2021-05-29,748314,Campanha B,111020,45-49,Mulher,31,7821,4,6.340000153,1,1
2021-05-30,748341,Campanha B,111024,45-49,Mulher,64,1363,0,0,1,1
2021-05-31,776318,Campanha B,115484,45-49,Mulher,15,3569,0,0,1,1
2021-06-01,776322,Campanha B,115485,45-49,Mulher,16,119063,34,53.21999949,1,0
2021-06-02,776323,Campanha B,115485,45-49,Mulher,16,99078,23,35.79999948,2,0
2021-06-03,776325,Campanha B,115485,45-49,Mulher,16,452398,114,180.2200012,1,0
2021-06-04,776334,Campanha B,115487,45-49,Mulher,10,191223,48,76.41000056,1,0
2021-06-05,776336,Campanha B,115487,45-49,Mulher,10,22216,6,9.549999952,1,0
2021-06-06,776338,Campanha B,115487,45-49,Mulher,10,48291,11,18.01999998,1,0
2021-06-07,776353,Campanha B,115490,40-44,Mulher,63,27559,8,13.37,1,0
2021-06-08,776373,Campanha B,115493,45-49,Mulher,25,10194,4,4.590000033,2,1
2021-06-09,776383,Campanha B,115495,45-49,Mulher,23,1168,0,0,1,1
2021-06-10,776405,Campanha B,115498,45-49,Mulher,21,40126,16,25.86000001,1,0
2021-06-11,776416,Campanha B,115500,45-49,Mulher,19,3659,1,0.49000001,1,1
2021-06-12,776430,Campanha B,115503,30-34,Homem,10,3200,0,0,1,0
2021-06-13,776464,Campanha B,115508,45-49,Mulher,29,7550,1,1.679999948,1,1
2021-06-14,776469,Campanha B,115509,45-49,Mulher,28,45397,15,25.41999936,1,1
2021-06-15,776473,Campanha B,115510,30-34,Homem,16,23086,2,3.310000062,1,1
2021-06-16,776475,Campanha B,115510,30-34,Homem,16,16425,1,1.549999952,1,0
2021-06-17,776476,Campanha B,115510,30-34,Homem,16,43756,5,5.439999938,0,0
2021-06-18,776477,Campanha B,115510,30-34,Homem,16,9982,0,0,1,0
2021-06-19,776489,Campanha B,115512,45-49,Mulher,26,175389,55,81.60999787,1,0
2021-06-20,776494,Campanha B,115513,30-34,Homem,15,7015,0,0,1,0
2021-06-21,776515,Campanha B,115517,45-49,Mulher,65,12706,3,4.98999989,1,1
2021-06-22,776519,Campanha B,115517,45-49,Mulher,65,70702,20,31.7099998,1,0
2021-06-23,776533,Campanha B,115520,45-49,Mulher,63,63927,16,25.52000046,2,0
2021-06-24,776534,Campanha B,115520,45-49,Mulher,63,15105,3,4.25999999,1,0
2021-06-25,776538,Campanha B,115521,30-34,Mulher,15,8774,1,1.830000043,1,0
2021-06-26,776551,Campanha B,115523,30-34,Mulher,16,14459,1,1.389999986,1,0
2021-06-27,776552,Campanha B,115523,30-34,Mulher,16,21596,2,2.809999943,1,0
2021-06-28,776553,Campanha B,115523,30-34,Mulher,16,66765,8,11.04999971,1,0
2021-06-29,776563,Campanha B,115525,30-34,Mulher,7,1369,0,0,1,1
2021-06-30,776579,Campanha B,115527,30-34,Mulher,10,26910,5,7.229999781,1,0
2021-07-01,776603,Campanha B,115531,30-34,Mulher,2,506,0,0,1,0
2021-07-02,776615,Campanha B,115533,45-49,Homem,63,11988,3,4.269999862,1,0
2021-07-03,776623,Campanha B,115535,45-49,Homem,64,19353,6,9.4799999,1,1
2021-07-04,776631,Campanha B,115536,40-44,Homem,29,10960,2,2.890000105,1,0
2021-07-05,776643,Campanha B,115538,30-34,Homem,15,33491,6,10.56999969,2,1
2021-07-06,776644,Campanha B,115538,30-34,Homem,15,20083,2,3.200000048,2,1
2021-07-07,776659,Campanha B,115541,30-34,Homem,16,8817,0,0,1,1
2021-07-08,776661,Campanha B,115541,30-34,Homem,16,15466,1,0.970000029,1,0
2021-07-09,776662,Campanha B,115541,30-34,Homem,16,27072,3,4.370000005,1,0
2021-07-10,776663,Campanha B,115541,30-34,Homem,16,15753,1,0.569999993,1,1
2021-07-11,776668,Campanha B,115542,40-44,Homem,19,3523,1,1.809999943,1,1
2021-07-12,776685,Campanha B,115545,40-44,Homem,16,7745,0,0,1,0
2021-07-13,776686,Campanha B,115545,40-44,Homem,16,18709,2,3.319999933,1,0
2021-07-14,776687,Campanha B,115545,40-44,Homem,16,8022,0,0,2,1
2021-07-15,776696,Campanha B,115547,30-34,Homem,10,7966,1,1.179999948,1,1
2021-07-16,776697,Campanha B,115547,30-34,Homem,10,4132,0,0,1,1
2021-07-17,776698,Campanha B,115547,30-34,Homem,10,12785,3,4.730000019,2,1
2021-07-18,776699,Campanha B,115547,30-34,Homem,10,8213,1,1.379999995,1,1
2021-07-19,776722,Campanha B,115551,30-34,Homem,2,545,0,0,1,1
2021-07-20,776725,Campanha B,115552,40-44,Homem,23,2479,1,1.25999999,1,0
2021-07-21,776780,Campanha B,115561,40-44,Homem,2,3812,2,3.049999952,1,0
2021-07-22,776793,Campanha B,115563,45-49,Homem,21,1609,0,0,1,0
2021-07-23,776799,Campanha B,115564,45-49,Homem,20,10257,3,3.579999924,1,1
2021-07-24,776817,Campanha B,115567,40-44,Homem,10,12356,4,6.279999971,1,0
2021-07-25,776825,Campanha B,115568,45-49,Homem,18,7410,1,1.210000038,1,0
2021-07-26,776829,Campanha B,115569,45-49,Homem,16,140098,28,46.63000011,1,0
2021-07-27,776831,Campanha B,115569,45-49,Homem,16,107021,20,34.44000012,1,0
2021-07-28,776840,Campanha B,115571,35-39,Homem,36,2797,1,1.289999962,1,0
2021-07-29,776861,Campanha B,115574,45-49,Homem,7,16461,6,9.21999979,1,0
2021-07-30,776892,Campanha B,115580,40-44,Homem,63,17488,5,7.719999909,1,0
2021-07-31,776928,Campanha B,115586,35-39,Homem,10,9750,2,1.5,1,1
2021-08-01,776935,Campanha B,115587,45-49,Homem,36,1136,0,0,1,1
2021-08-02,777105,Campanha B,115615,45-49,Homem,63,4333,1,0.180000007,1,1
2021-08-03,777130,Campanha B,115619,35-39,Homem,16,6260,0,0,1,0
2021-08-04,777131,Campanha B,115619,35-39,Homem,16,6359,0,0,1,0
2021-08-05,777166,Campanha B,115625,30-34,Homem,63,2383,0,0,1,1
2021-08-06,777187,Campanha B,115629,40-44,Homem,27,11292,3,5.389999866,1,1
2021-08-07,777198,Campanha B,115631,30-34,Homem,64,12729,4,5.779999852,1,0
2021-08-08,777200,Campanha B,115631,30-34,Homem,64,1898,0,0,1,1
2021-08-09,777201,Campanha B,115631,30-34,Homem,64,1882,0,0,1,1
2021-08-10,777235,Campanha B,115637,30-34,Homem,65,2883,1,0.99000001,1,1
2021-08-11,777248,Campanha B,115639,30-34,Mulher,7,3989,1,1.279999971,1,0
2021-08-12,777261,Campanha B,115641,40-44,Homem,29,19603,4,5.279999971,1,1
2021-08-13,777382,Campanha B,115675,40-44,Homem,24,3047,1,1.379999995,1,0
2021-08-14,777398,Campanha B,115677,35-39,Homem,24,3029,1,1.049999952,1,1
2021-08-15,777410,Campanha B,115679,45-49,Homem,26,3490,1,1.340000033,1,1
2021-08-16,777482,Campanha B,115691,45-49,Homem,28,2479,0,0,1,0
2021-08-17,777495,Campanha B,115693,40-44,Homem,19,19581,7,10.42999983,2,0
2021-08-18,777519,Campanha B,115697,45-49,Homem,29,19537,5,6.099999905,1,0
2021-08-19,777625,Campanha B,115715,45-49,Homem,16,59433,12,19.65999949,3,0
2021-08-20,777627,Campanha B,115715,45-49,Homem,16,157534,33,56.19000077,2,0
2021-08-21,777638,Campanha B,115717,40-44,Homem,7,1781,0,0,1,1
2021-08-22,777670,Campanha B,115723,40-44,Homem,16,23769,4,6.029999852,1,0
2021-08-23,777673,Campanha B,115723,40-44,Homem,16,7101,0,0,1,0
2021-08-24,777742,Campanha B,115735,35-39,Homem,64,4726,1,1.830000043,1,1
2021-08-25,777758,Campanha B,115737,30-34,Homem,19,5209,1,0.959999979,2,0
2021-08-26,777794,Campanha B,115743,30-34,Homem,18,13473,3,2.619999945,3,0
2021-08-27,777816,Campanha B,115747,40-44,Homem,2,500,0,0,1,1
2021-08-28,777871,Campanha B,115756,30-34,Homem,20,4616,1,1.360000014,1,0
2021-08-29,777904,Campanha B,115762,30-34,Homem,31,3279,0,0,1,0
2021-08-30,777905,Campanha B,115762,30-34,Homem,31,3288,0,0,1,0
2021-08-31,778037,Campanha B,115784,35-39,Homem,27,14615,4,6.050000191,1,0
2021-09-01,778048,Campanha B,115786,30-34,Homem,27,56615,12,19.88000035,2,0
2021-09-02,778085,Campanha B,115792,30-34,Homem,26,11735,3,4.529999971,1,1
2021-09-03,778087,Campanha B,115792,30-34,Homem,26,15910,5,6.779999852,1,0
2021-09-04,778112,Campanha B,115796,35-39,Homem,29,11446,2,3.090000033,1,1
2021-09-05,778113,Campanha B,115796,35-39,Homem,29,4595,0,0,1,0
2021-09-06,778124,Campanha B,115798,30-34,Homem,29,4871,0,0,1,0
2021-09-07,778148,Campanha B,115802,35-39,Homem,28,3199,0,0,1,0
2021-09-08,778156,Campanha B,115804,30-34,Homem,28,9388,2,3.140000105,1,0
2021-09-09,778161,Campanha B,115804,30-34,Homem,28,17954,6,7.5400002,2,1
2021-09-10,778208,Campanha B,115812,40-44,Mulher,29,2755,0,0,1,0
2021-09-11,778264,Campanha B,115822,40-44,Mulher,27,8152,1,0.99000001,1,0
2021-09-12,778266,Campanha B,115822,40-44,Mulher,27,74542,19,34.1500001,1,0
2021-09-13,778421,Campanha B,115848,40-44,Mulher,20,6699,2,3.090000033,1,0
2021-09-14,778422,Campanha B,115848,40-44,Mulher,20,11911,4,3.959999919,1,0
2021-09-15,778461,Campanha B,115854,40-44,Homem,29,10090,2,2.650000095,1,1
2021-09-16,778471,Campanha B,115856,30-34,Homem,32,1273,0,0,1,1
2021-09-17,778483,Campanha B,115858,40-44,Mulher,18,24188,5,8.179999828,1,0
2021-09-18,778529,Campanha B,115866,30-34,Homem,31,2214,0,0,1,0
2021-09-19,778556,Campanha B,115870,40-44,Homem,32,9735,4,4.130000114,1,1
2021-09-20,778590,Campanha B,115876,30-34,Homem,30,1371,0,0,1,1
2021-09-21,778600,Campanha B,115878,40-44,Mulher,22,10750,4,5.389999866,1,0
2021-09-22,778626,Campanha B,115882,30-34,Homem,29,7629,1,0.720000029,1,1
2021-09-23,778628,Campanha B,115882,30-34,Homem,29,4608,0,0,1,0
2021-09-24,778674,Campanha B,115890,35-39,Homem,29,3732,0,0,1,0
2021-09-25,778689,Campanha B,115892,30-34,Homem,28,7453,1,1.679999948,1,1
2021-09-26,778722,Campanha B,115898,35-39,Mulher,64,41785,14,19.10000038,1,0
